City,Wind,Temperature,Humidity,Cloudiness,Latitude
vila velha,10.29,80.6,74,0,-3.71
hobyo,19.48,76.72,82,0,5.35
ushuaia,17.22,41.0,60,90,-54.81
dikson,18.7,51.29,75,92,73.51
hermanus,3.6,35.59,100,8,-34.42
venado tuerto,27.76,50.89,73,12,-33.75
cidreira,5.73,65.06,81,88,-30.17
bialogard,10.2,79.96,43,48,54.01
shorapani,3.36,71.6,94,75,42.1
manoel urbano,2.48,88.28,58,0,-8.84
punta arenas,4.7,40.15,86,75,-53.16
anori,5.39,85.99,59,24,-3.74
longyearbyen,11.41,42.8,87,75,78.22
khash,6.17,69.61,24,0,28.22
sorland,13.0,59.39,98,92,67.67
victoria,3.36,76.98,83,75,5.28
manavalakurichi,2.24,75.2,94,75,8.13
severodvinsk,6.71,53.6,71,75,64.56
lebu,2.82,52.6,81,64,8.96
tessalit,9.64,85.9,42,56,20.2
tobias barreto,10.2,75.14,66,0,-11.19
vichuga,8.63,55.75,96,92,57.22
blagoyevo,2.59,46.39,93,12,63.37
cape town,12.75,50.0,76,0,-33.93
asyut,11.41,86.0,45,0,27.18
nadym,10.76,54.4,93,0,65.53
baghmara,5.61,76.36,98,88,23.8
maloy,3.38,78.56,81,8,1.0
petropavlovka,2.15,50.89,86,0,50.61
mathbaria,6.73,78.79,100,92,22.29
jalu,10.2,94.54,23,8,29.03
san alberto,23.04,60.8,100,90,-24.98
sosnogorsk,4.61,48.19,86,20,63.59
rawson,7.63,49.54,52,12,-43.3
la rioja,1.14,56.87,58,0,-29.41
algiers,8.05,86.67,55,1,29.94
kutum,6.17,67.13,87,0,14.2
jamestown,6.73,38.02,84,0,-33.21
cabedelo,10.29,77.0,78,20,-6.97
lubben,2.24,72.5,78,0,51.95
tarko-sale,11.43,60.11,94,56,64.92
matay,11.77,83.42,34,0,28.42
chuy,13.0,57.32,96,80,-33.69
gaurnadi,6.06,78.16,98,92,22.97
cotonou,10.29,77.0,88,20,6.37
skorodnoye,6.71,59.0,72,0,51.07
sabzevar,4.5,65.2,36,0,36.21
verkhovyna,1.92,58.31,95,20,48.15
lasa,6.93,80.46,65,0,34.92
bossangoa,6.96,67.81,94,44,6.5
polovinnoye,2.82,63.94,87,32,54.79
coquimbo,6.93,75.2,22,0,-29.95
watsa,1.36,64.57,93,12,3.04
tandalti,6.29,77.17,79,64,13.01
bara,6.96,74.47,93,88,10.41
lapy,9.19,68.12,64,0,52.99
sistranda,14.99,60.8,87,75,63.73
yenagoa,5.84,74.42,89,92,4.92
ancud,3.71,51.83,67,80,-41.87
lyskovo,8.63,51.7,84,0,56.03
skjervoy,2.24,48.2,87,0,70.03
rognan,6.93,62.6,88,75,67.1
beyneu,8.41,82.61,34,0,45.32
ati,10.76,75.55,82,68,13.21
ivankiv,5.73,64.4,72,0,50.93
necochea,22.95,45.31,96,0,-38.55
havoysund,4.7,47.68,87,0,71.0
mar del plata,12.77,50.12,58,12,-46.43
caravelas,9.31,76.9,99,32,-17.73
chor,12.66,88.37,57,88,25.52
savinka,13.0,69.16,41,0,50.08
arraial do cabo,9.17,71.55,78,40,-22.97
idukki,1.81,68.44,100,100,9.85
gorno-altaysk,1.92,56.69,87,0,51.96
adre,2.04,64.12,98,8,13.47
gat,4.7,87.8,55,75,14.69
svit,5.82,66.2,77,20,49.06
aswan,13.87,91.4,22,0,24.09
vuktyl,5.5,48.14,90,24,63.86
eydhafushi,17.36,84.19,95,92,5.1
ostrovnoy,6.62,52.91,66,80,68.05
jiwani,8.52,79.69,95,24,25.05
polis,6.93,77.0,65,0,35.04
sohag,7.18,83.2,41,0,26.55
kohlu,3.49,77.57,73,88,29.9
natal,12.75,78.8,74,0,-5.81
pinega,5.06,53.81,68,68,64.7
kholm,3.71,56.78,78,0,57.15
mayor pablo lagerenza,17.13,66.23,68,88,-19.93
puerto leguizamo,3.04,82.61,73,0,-0.19
hambantota,14.23,78.52,100,56,6.12
ginda,1.36,58.9,100,80,30.69
adet,3.15,56.06,95,80,11.26
prachatice,2.59,69.74,80,12,49.01
medvezhyegorsk,3.38,53.5,82,0,62.92
marzuq,2.93,77.62,36,92,14.4
belmonte,6.51,67.09,62,0,40.36
visby,12.75,73.4,60,24,57.64
adrar,11.41,96.8,15,0,27.87
pitimbu,10.29,77.0,78,20,-7.47
sabla,4.38,77.84,82,64,12.75
thinadhoo,5.73,82.57,100,56,0.53
arlit,4.72,84.82,56,0,18.74
balkhash,6.62,76.67,75,68,46.84
parabel,6.73,59.17,82,44,58.71
sokoto,3.94,75.91,87,24,13.06
tortoli,3.6,77.0,78,0,39.93
comodoro rivadavia,6.93,50.0,71,0,-45.87
vardo,5.82,87.01,55,40,39.62
georgetown,12.75,84.2,70,20,6.8
ust-kulom,4.94,51.16,75,24,61.69
abeche,8.08,67.99,98,80,13.83
nizwa,4.38,83.51,35,56,22.93
lugovoy,3.6,53.72,89,8,59.72
kamenka,8.08,56.96,75,0,53.19
suzun,2.71,50.48,84,0,53.78
mihijam,5.61,76.9,95,20,23.85
salalah,2.24,78.8,94,90,17.01
san cristobal,2.82,56.33,63,64,-0.39
ugoofaaru,17.36,84.19,95,92,5.67
rheden,2.24,59.02,77,0,52.0
wamba,2.15,68.35,94,12,2.14
chakwal,3.94,74.24,93,48,32.93
santiago de cao,10.29,66.2,77,75,-7.96
copiapo,10.29,60.8,72,0,-27.37
temirtau,6.71,53.6,100,0,50.05
jardim,3.6,72.17,89,44,-21.48
rutigliano,5.82,75.87,50,0,41.01
iskateley,15.35,52.91,70,92,67.68
zemio,2.15,70.6,93,0,5.02
pisco,4.7,62.6,88,90,-13.71
castro,5.84,51.11,67,80,-42.48
karaidel,4.05,59.71,95,76,55.83
hami,4.61,72.98,47,12,42.84
dwarka,4.7,84.2,89,75,28.58
mehamn,6.93,50.0,66,75,71.03
mongoumba,2.37,71.14,100,32,3.64
kant,2.93,53.5,74,20,42.89
rio grande,9.98,59.0,100,75,-32.03
bogo,6.06,71.86,95,92,10.74
urengoy,12.55,57.59,97,92,65.96
ginir,6.4,64.75,57,12,7.14
mbale,3.04,58.99,89,0,1.07
bilma,6.96,89.81,35,64,18.69
verkhnyaya inta,4.83,48.1,94,80,65.99
lima,2.15,66.68,73,24,-12.06
rajsamand,2.82,74.74,90,92,25.06
sovetskiy,14.0,56.42,72,92,56.76
bombay,8.05,77.49,83,75,44.94
atasu,6.73,66.14,76,0,48.68
kalmunai,2.71,72.22,99,12,7.42
andros,16.11,78.75,61,0,37.83
matara,2.59,56.65,38,0,-13.74
san rafael,7.07,51.34,30,20,-34.61
kovdor,2.37,53.41,82,0,67.56
storforshei,2.15,53.63,97,100,66.4
awbari,6.17,94.76,17,92,26.59
dhuburi,2.26,76.36,94,32,26.03
mugur-aksy,2.15,43.01,96,64,50.38
konstancin-jeziorna,11.41,71.6,56,0,52.08
weligama,12.44,78.16,95,92,5.97
rio gallegos,27.51,42.8,83,0,-51.62
bjornevatn,4.7,46.67,81,0,69.67
kovernino,8.19,54.94,70,0,57.13
tall kayf,5.82,84.2,25,0,37.08
santa rosa,11.1,54.22,42,0,-36.62
bereda,3.36,60.8,93,75,43.27
divnomorskoye,11.99,78.79,64,92,44.5
bunia,2.93,61.42,89,0,1.56
hammerfest,4.7,47.35,87,0,70.66
juruti,5.06,91.34,43,0,-2.16
umarkot,12.21,84.68,66,76,25.37
khuchni,3.27,67.04,82,32,41.95
kidal,9.08,81.08,66,48,18.44
dmitriyevka,2.37,65.69,100,88,43.08
timizart,2.82,71.54,50,0,36.8
tabas,4.94,72.71,26,0,33.6
vyartsilya,7.74,56.96,62,0,62.18
sharan,2.48,54.71,93,68,33.15
sivas,13.87,53.6,93,40,39.75
savinskiy,2.82,46.43,83,0,62.93
belyy yar,2.24,59.0,82,0,53.6
hargeysa,9.42,76.13,37,92,9.56
palazzolo acreide,2.24,77.58,78,0,37.06
shar,7.63,75.82,85,68,7.3
sawakin,2.59,80.54,83,48,19.1
eyl,26.31,80.5,71,0,7.98
porbandar,11.65,79.06,90,100,21.64
tatarsk,7.4,62.41,67,20,55.22
imeni morozova,4.47,59.0,72,0,59.98
yanam,11.65,76.27,94,44,16.73
bud,3.36,59.58,93,75,62.91
kudahuvadhoo,13.11,83.92,99,80,2.67
trabzon,6.93,75.2,69,75,41.01
ayagoz,8.75,64.97,52,0,47.96
talnakh,12.88,51.16,80,44,69.49
salinas,17.22,71.85,30,1,36.67
jimma,2.37,53.59,98,56,7.67
biu,4.5,70.51,98,88,10.61
bouca,5.61,70.15,96,68,6.51
fatehpur,0.69,82.97,84,64,31.18
laguna,4.7,96.8,41,40,27.52
barda,6.73,56.96,98,92,56.93
san ramon de la nueva oran,8.19,67.45,32,12,-23.13
jaisalmer,8.08,84.82,69,88,26.91
viedma,7.4,47.78,68,0,-40.81
pudozh,2.93,51.16,84,0,61.81
udankudi,11.43,79.15,80,48,8.43
sena madureira,2.59,87.79,59,8,-9.07
mazyr,5.95,65.02,72,24,52.05
kingisepp,2.59,58.13,84,0,59.38
sinop,14.79,79.51,96,0,42.03
kavaratti,22.28,82.61,96,92,10.57
pocone,13.67,87.83,52,80,-16.26
pechenga,6.73,50.71,92,0,58.89
pachino,3.36,71.6,94,0,36.72
yar-sale,17.02,53.05,98,100,66.83
ornskoldsvik,8.05,66.2,93,20,63.29
marawi,2.48,63.4,95,32,8.0
shache,9.64,73.43,50,0,38.42
pimentel,3.27,84.01,63,20,-3.7
sechenovo,7.74,52.91,65,0,55.22
zabid,1.36,52.28,85,32,14.2
kjollefjord,6.93,50.0,66,75,70.95
bosaso,9.64,84.46,94,32,11.28
uruzgan,2.37,50.17,73,0,32.93
cacequi,12.77,56.69,76,0,-29.88
lisakovsk,3.15,63.67,94,12,52.55
san carlos de bariloche,1.59,40.54,55,0,-41.13
bondo,1.92,73.61,92,24,3.81
zyryanovsk,2.15,56.02,80,0,49.74
ponnampet,5.39,66.55,98,88,12.15
georgiyevka,7.74,61.19,62,0,52.25
kulhudhuffushi,19.6,84.41,94,68,6.62
akdepe,4.7,78.85,53,0,42.05
krymsk,8.95,77.0,78,0,44.93
port-gentil,11.41,75.2,78,90,-0.72
bilaspur,2.48,75.1,99,100,22.08
dvinskoy,3.27,49.22,87,12,62.16
belaya glina,14.9,77.12,42,36,46.08
valparaiso,4.7,79.59,65,20,41.47
topchikha,2.82,51.92,85,0,52.82
gayeri,8.75,77.03,84,20,12.65
manacapuru,5.28,91.12,48,8,-3.3
cururupu,8.63,81.04,74,64,-1.82
vallenar,1.14,70.46,64,0,-28.58
galle,18.34,98.64,41,40,29.74
dhangadhi,2.71,78.74,90,80,28.7
kulu,1.92,73.61,92,24,3.47
rocha,4.94,54.22,93,32,-34.48
wattegama,4.16,70.01,98,100,7.35
kharp,16.02,49.31,88,88,66.82
kosh-agach,2.71,43.64,100,32,49.99
kisangani,1.59,76.31,85,0,0.52
boddam,3.36,53.6,76,64,57.47
sao joao da barra,6.93,71.6,83,75,-21.64
veraval,9.17,61.99,72,0,49.65
doka,4.94,69.47,88,92,13.52
rafina,12.75,82.4,45,0,38.02
manturovo,5.95,56.42,61,0,58.33
dembi dolo,4.05,61.06,84,36,8.53
labytnangi,14.45,50.39,90,92,66.66
landau,6.93,67.98,68,0,51.34
bom jesus,12.75,78.8,74,0,-5.99
saint-junien,5.82,70.63,60,0,45.89
alta floresta,2.26,96.02,27,32,-9.87
khor,2.82,63.98,87,8,47.88
barpeta,2.93,82.4,88,75,26.33
mandera,12.21,79.28,53,0,3.94
damietta,13.87,82.4,74,40,31.42
abu dhabi,5.82,95.94,71,0,24.47
winneba,13.87,77.0,88,20,5.35
riorges,2.71,68.76,78,0,46.04
maldonado,13.87,53.6,87,75,-34.91
sinjar,9.19,76.54,61,0,35.59
kaunas,5.82,66.2,72,0,54.9
singanallur,6.93,71.6,100,90,11.0
azare,9.98,69.16,98,88,11.67
zelenoborskiy,8.75,65.29,60,80,66.84
yarensk,4.38,48.23,83,0,62.17
tokmak,13.0,73.07,38,0,47.26
paragominas,5.5,78.92,85,56,-3.0
sur,1.14,82.57,94,44,22.57
kassala,4.27,70.73,88,80,15.45
osorheiu,6.93,73.72,88,8,47.03
atkarsk,8.52,60.83,68,0,51.88
ijsselstein,3.36,58.98,77,0,52.02
oskemen,4.47,53.6,93,20,49.96
calafat,2.71,69.97,85,0,43.99
san lawrenz,6.93,78.8,83,20,36.06
saldanha,11.32,68.03,57,0,41.42
capitan bado,3.6,67.45,98,64,-23.27
sita road,2.15,85.54,81,64,27.03
gampaha,8.05,75.2,94,75,7.09
hit,10.65,87.11,28,0,33.64
abatskoye,2.82,61.6,90,20,56.29
karla,3.36,68.0,72,0,59.37
mehndawal,7.74,79.28,90,24,26.98
marsa matruh,6.93,80.6,74,0,31.35
altay,3.6,44.32,81,0,47.83
amalapuram,11.65,76.27,94,44,16.58
bandarbeyla,36.6,78.61,89,0,9.49
zaozerne,7.96,69.07,63,0,51.37
yuzhnyy,6.4,56.42,73,0,53.54
igarka,17.58,53.63,75,76,67.47
anloga,12.75,77.0,88,20,5.79
makinsk,4.38,65.74,78,20,52.63
ouango,2.26,74.29,91,12,4.31
rafaela,22.95,55.88,54,0,-31.25
storsteinnes,1.81,54.34,87,0,69.24
lerwick,11.41,52.7,87,32,60.15
syracuse,8.05,78.75,74,75,43.05
santa ines,2.82,56.33,63,64,-0.82
noyabrsk,5.17,56.2,95,48,63.2
san carlos,2.71,78.02,95,36,9.66
acari,12.1,79.42,48,0,-6.44
san clemente,9.17,92.26,51,1,33.43
sidi ali,2.04,78.52,55,64,36.1
grakhovo,20.13,59.0,93,90,56.05
filingue,3.38,79.69,79,64,14.35
zabol,21.92,87.8,22,0,31.03
faya,3.6,68.88,77,5,18.39
damara,2.24,77.0,88,40,4.96
sabang,11.32,80.05,93,80,13.72
aksu,6.71,60.8,77,0,52.04
aras,1.36,52.28,85,32,14.28
pimenta bueno,3.15,91.3,38,80,-11.68
conchas,1.92,70.19,71,24,-23.02
karlshamn,2.24,72.57,88,80,56.17
abha,1.36,68.86,77,5,18.22
ludvika,13.87,66.2,93,76,60.15
chisinau,6.93,69.8,56,0,47.01
sotnikovskoye,3.15,81.26,55,100,45.0
amudat,2.93,58.67,87,0,1.95
roald,14.99,59.61,87,75,62.58
birao,3.15,67.9,98,8,10.3
sechura,12.77,72.44,79,0,-5.56
brae,11.41,52.83,87,48,60.4
kropachevo,2.26,59.62,94,44,55.01
dolores,11.32,53.77,85,76,-33.53
esil,2.93,66.64,78,8,51.96
san juan,3.15,55.66,31,0,-31.54
vagay,5.5,61.24,94,48,57.94
itapirapua,1.59,85.58,49,68,-15.82
sarwar,3.6,73.97,98,44,26.06
damaturu,4.94,74.29,90,92,11.75
aksarayskiy,8.95,82.4,39,40,46.79
moussoro,8.3,75.68,85,8,13.64
avrameni,4.7,64.4,77,0,48.02
rabak,8.19,72.94,93,76,13.18
almaznyy,11.32,68.84,51,0,48.03
mehran,4.7,77.0,25,0,33.12
coihaique,3.36,48.2,57,0,-45.58
huarmey,4.16,69.83,62,20,-10.07
colquechaca,2.15,47.74,64,0,-18.7
szalkszentmarton,4.7,74.23,73,0,46.98
dhidhdhoo,19.6,84.41,94,68,6.88
banda aceh,5.39,75.14,96,44,5.56
umm lajj,6.29,80.59,100,0,25.02
bongandanga,4.38,75.59,92,24,1.51
port victoria,13.56,53.59,91,0,-34.5
birjand,9.17,68.0,30,0,32.86
raudeberg,18.34,59.0,87,40,61.99
batouri,4.72,68.57,96,92,4.44
awjilah,7.96,97.19,21,76,29.14
pathardi,11.32,72.98,87,88,19.17
lomza,10.87,69.52,61,0,53.18
waddan,7.74,92.33,25,20,29.16
abonnema,4.72,75.2,94,75,4.71
bijar,4.38,75.77,33,56,35.87
nurota,10.42,80.6,24,0,40.56
sao geraldo do araguaia,2.37,84.23,75,0,-6.4
paidha,2.93,63.4,89,48,2.42
sundargarh,6.4,74.47,99,92,22.12
asbe teferi,2.48,55.75,91,100,9.08
mao,16.11,91.36,52,20,19.55
hangu,2.37,78.8,78,20,33.53
orje,5.82,66.2,93,40,59.48
sayat,9.17,84.2,32,0,38.78
isilkul,6.06,64.07,91,0,54.9
aracaju,9.17,78.8,74,40,-10.92
turukhansk,13.67,52.91,73,68,65.8
peceneaga,0.92,69.8,77,12,45.01
amethi,5.82,82.4,88,20,26.76
druzhba,8.75,68.26,63,0,49.36
susangerd,9.17,98.6,19,0,31.56
manicore,4.7,91.4,55,20,-5.81
khartoum,11.41,86.0,55,0,15.59
suruc,13.87,80.6,39,0,36.98
port blair,13.0,78.38,100,88,11.67
okitipupa,3.71,75.91,86,80,6.5
balkanabat,5.17,84.77,23,12,39.51
shatsk,7.96,69.07,63,0,51.49
kayerkan,14.56,51.97,79,44,69.35
wladyslawowo,9.17,75.2,53,0,54.79
mecca,2.93,81.04,54,0,21.43
alghero,2.24,77.0,88,0,40.56
edd,7.4,87.34,47,56,13.93
benghazi,23.85,83.33,90,0,32.12
goure,6.29,82.39,62,68,13.98
parichhatgarh,4.16,79.15,91,48,28.98
ratnagiri,15.01,76.67,100,92,16.98
altamira,3.94,87.8,66,20,-3.2
merke,2.15,48.37,88,0,42.87
berlevag,10.09,47.74,96,0,70.86
kargil,0.92,32.39,98,80,34.56
keuruu,8.05,65.28,59,0,62.26
bumba,3.83,71.41,97,44,2.18
villa carlos paz,18.34,60.8,14,0,-31.42
jati,9.64,80.14,78,68,24.35
gashua,1.59,78.16,85,92,12.87
kamyaran,9.17,78.8,66,0,34.8
garowe,17.47,84.46,39,0,8.41
nizhniy odes,4.72,49.13,82,44,63.64
novoseleznevo,3.15,63.85,96,80,55.68
ganganagar,10.65,72.62,94,92,16.78
mangan,1.36,45.04,93,32,27.5
sychevka,2.37,54.94,85,12,55.83
bayan,3.04,51.38,88,32,47.25
bahir dar,3.15,56.06,95,80,11.59
balvi,4.94,61.6,83,0,57.13
trincomalee,17.69,79.19,77,88,8.58
jumla,2.82,37.43,92,48,29.28
zangakatun,5.82,78.8,44,0,39.82
warri,7.52,75.19,90,48,5.52
jatai,2.93,77.26,94,0,28.97
kanniyakumari,15.68,77.8,100,92,8.08
kiruna,9.17,64.4,72,76,67.86
fort-shevchenko,8.3,76.67,90,48,44.51
inta,4.61,46.97,94,48,66.04
bellary,13.78,72.04,86,76,15.15
